#OTU ID,Z1-A,Z1-C,Z1-N,Z1-R,Z11-A,Z11-C,Z11-N,Z11-R,Z13-A,Z13-C,Z13-N,Z18-A,Z18-C,Z18-R,Z23-C,Z23-N,Z23-R,Z26-C,Z26-N,Z26-R,Z28-A,Z28-C,Z28-N,Z28-R,Z29-A,Z29-C,Z29-N,Z29-R,Z32-A,Z32-C,Z32-N,Z32-R,Z36-A,Z36-C,Z36-N,Z36-R,Z39-A,Z39-N,Z39-R,Z4-A,Z4-C,Z4-N,Z4-R,Z40-A,Z40-C,Z40-N,Z40-R,Z43-C,Z43-N,Z43-R,Z44-A,Z44-C,Z44-N,Z45-A,Z45-C,Z45-N,Z45-R,Z46-C,Z46-N,Z46-R,Z5-A,Z5-C,Z5-N,Z5-R,Z6-A,Z6-C,Z6-N,Z6-R
47a397005890de5682eecc9de0c07ec7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,60,0,0,0,2364,0,0
a62c98fad3c09afc66434f715dd6abe9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7bdee30b906dea46aace259cfe385391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f5b23e1605e7e2f04924ceb3d7ba758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6408d5b1073c98509c17cb954247ff20,63,0,64,80,0,0,0,0,26,0,0,0,0,549,0,23,8,0,270,11,0,0,6,126,0,0,0,0,0,331,0,20,0,52,7,0,151,0,8,0,0,245,0,58,0,0,0,4,0,0,0,0,3,0,0,4,20,23,0,0,0,6,0,129,0,8,0,23
290cedd37a0f8597542ee3a8dc965310,0,0,55,0,0,0,0,0,97,79,0,0,0,81,0,0,83,0,64,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,68,0,20,0,0,0,100,149,76,85,254,0,0,0,0,0,0,88,0,210,80,0,476,139,0,0,0
3c1f86c7c8004f6ddbe039997ba91233,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1207,359,0,0,0,0,212,0,59,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,40,0,0,239,0,0,0,0,0,0,0,0
67015ffe67e7153314076aa7b39ea9e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3349f704173c7c14933b3e4fa38cad90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413cf1b84df31fd5b205fb3f90935a2c,0,0,176,0,0,0,93,0,0,0,0,0,0,18,0,18,0,0,639,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,33,14,0,0,0,0,0,0,0,982,0,0,0,39,27,0,125,0,0,0,0,0
